Make Your Bed
Put Your Dishes Away after a meal
Wipe Table after meal
Clean your floor mess after meal
Empty/Sort/Put Away your backpack (not on floor)
"Put away drying rack, empty dishwasher AM"
Tidy your room
"Put away drying rack, empty dishwasher PM"
"Island (Tidy, Wipe)"
"Basket of Laundry (sort, put on each person's bed in neat stack)"
Wash & Dry a load of laundry
Break Down Boxes
Make Dinner
Load & Start Dishwasher
"Dinner Dishes (hand wash, drying rack or dry & put away)"
Clear & Wipe Kitchen Counter
Put leftovers away
Take Out Trash
Tidy Basement Big Room
Tidy Fireplace Area
Tidy Great Room Couch & Floor Around
Take a Shower
"Clean Hall Bath (Mirror, Toilet, Sink)"
Tidy Office/Studio
"Tidy Foyer (things in proper place from bench, shoes tidy)"
Vacuum Stairs
"Clean Basement Bath (Mirror, Toilet, Sink, Floor)"
"Clean Master Bath (Mirror, Toilet, Sink)"
Clean Master Shower
"Cull mail, open & sort, scan"
"Yardwork (cleanup, weeds, etc.)"
"Mow, Trim Lawn"
Clean Hall Shower
